Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
1996-09-01,10.343333333333334,3.65,1.2,4.4,4.2733333333333325,0.0,5.316666666666666,10.376666666666669,1009.8,11.84,74.3,15.97,8.243333333333332,6.176666666666667
1996-10-01,9.193548387096774,3.3193548387096774,1.4548387096774194,4.064516129032258,3.290322580645161,0.0,5.251612903225807,10.46774193548387,1010.9806451612905,10.474193548387095,81.58064516129032,14.30967741935484,6.945161290322581,4.693548387096774
1996-11-01,10.876666666666669,4.426666666666667,1.346666666666667,5.6,0.8866666666666666,0.1333333333333333,6.6,7.646666666666666,1003.43,5.433333333333334,82.53333333333333,7.680000000000001,3.15,1.9733333333333327
1996-12-01,7.783870967741936,3.2193548387096773,0.3161290322580645,4.838709677419355,1.835483870967742,0.2580645161290322,5.625806451612903,4.567741935483871,1011.5419354838708,-2.419354838709677,82.87096774193549,-0.0548387096774192,-4.683870967741935,-6.048387096774194
1997-01-01,7.483870967741935,3.070967741935484,0.1870967741935484,4.129032258064516,2.3,1.6451612903225807,5.312903225806451,4.635483870967741,1018.6354838709676,-2.1193548387096777,83.35483870967742,0.2806451612903225,-4.916129032258064,-6.525806451612904
1997-02-01,12.882142857142856,5.396428571428571,2.407142857142857,5.321428571428571,2.710714285714286,0.0,5.732142857142857,6.457142857142857,1010.5821428571428,4.7250000000000005,73.75,7.810714285714285,1.3071428571428572,-0.0964285714285713
1997-03-01,11.451612903225806,4.270967741935484,0.9193548387096774,3.870967741935484,5.1,0.1935483870967742,4.780645161290322,6.4,1016.1580645161292,5.84516129032258,68.51612903225806,10.04516129032258,1.719354838709677,-0.8645161290322579
1997-04-01,13.203333333333337,4.906666666666666,1.4200000000000002,5.0,5.636666666666667,0.0666666666666666,4.816666666666666,6.3933333333333335,1011.0766666666666,7.15,61.66666666666666,11.783333333333331,2.6300000000000003,0.1166666666666666
1997-05-01,10.922580645161291,3.787096774193548,2.683870967741936,4.129032258064516,7.148387096774194,0.0,5.090322580645162,11.229032258064516,1009.2096774193548,14.0,68.03225806451613,18.712903225806453,8.703225806451613,5.83225806451613
1997-06-01,10.493333333333334,3.5900000000000003,1.5833333333333333,3.2,8.54,0.0,4.180000000000001,12.813333333333333,1005.8933333333332,18.026666666666664,62.06666666666667,22.87,12.593333333333334,9.913333333333332
1997-07-01,10.27741935483871,3.4451612903225803,2.567741935483871,3.741935483870968,7.406451612903226,0.0,5.041935483870968,15.109677419354838,1010.0870967741936,19.55161290322581,66.93548387096774,24.0,14.9,12.432258064516128
1997-08-01,8.3,2.7548387096774194,1.2129032258064516,2.5161290322580645,8.306451612903226,0.0,3.70967741935484,16.112903225806452,1012.1064516129032,22.32903225806452,61.45161290322581,27.806451612903224,16.31935483870968,12.741935483870968
1997-09-01,10.05,3.3766666666666665,0.5733333333333334,3.6,6.3100000000000005,0.0,4.48,12.163333333333332,1014.9433333333332,15.16,69.43333333333334,20.273333333333333,10.43,7.153333333333333
1997-10-01,11.577419354838709,4.422580645161291,1.1096774193548389,4.354838709677419,3.564516129032258,0.0,5.206451612903226,8.961290322580645,1009.8548387096774,8.66451612903226,75.09677419354838,12.693548387096774,5.387096774193548,2.935483870967742
