ID,Jahr,Monatscode,Monat,Gastro_Id,Gastro_Description,Umsatz in millionen
278,1996,MONAT02,Februar,WZ08-553,Campingplätze,62.2
279,1996,MONAT02,Februar,WZ08-559,Sonstige Beherbergungsstätten,109.7
280,1996,MONAT02,Februar,WZ08-56,Gastronomie,144.1
281,1996,MONAT02,Februar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",146.5
282,1996,MONAT02,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.1
283,1996,MONAT02,Februar,WZ08-563,Ausschank von Getränken,226.2
284,1996,MONAT02,Februar,WZ08-561-01,Gaststättengewerbe,157.6
285,1996,MONAT02,Februar,WZ08-55-01,Gastgewerbe,124.0
286,1996,MONAT03,März,WZ08-55,Beherbergung,109.5
287,1996,MONAT03,März,WZ08-551,"Hotels, Gasthöfe und Pensionen",109.3
288,1996,MONAT03,März,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,120.0
289,1996,MONAT03,März,WZ08-553,Campingplätze,66.2
290,1996,MONAT03,März,WZ08-559,Sonstige Beherbergungsstätten,125.9
291,1996,MONAT03,März,WZ08-56,Gastronomie,161.7
292,1996,MONAT03,März,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",167.5
293,1996,MONAT03,März,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.8
294,1996,MONAT03,März,WZ08-563,Ausschank von Getränken,240.0
295,1996,MONAT03,März,WZ08-561-01,Gaststättengewerbe,177.6
296,1996,MONAT03,März,WZ08-55-01,Gastgewerbe,140.5
297,1996,MONAT04,April,WZ08-55,Beherbergung,112.3
298,1996,MONAT04,April,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.7
299,1996,MONAT04,April,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,136.3
300,1996,MONAT04,April,WZ08-553,Campingplätze,100.1
301,1996,MONAT04,April,WZ08-559,Sonstige Beherbergungsstätten,152.9
