campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Campingplatz Kehl,48.56139659999999,7.8086352,POINT (869253.2942544319 6200764.628667103),Baden-Württemberg,Freiburg,Ortenaukreis,Landkreise,1443,91.98
Stromberg Camping,49.0349256,8.833294899999999,POINT (983317.8902948203 6280789.616717039),Baden-Württemberg,Karlsruhe,Enz,Landkreise,377,93.5
Family - Resort Kleinenzhof,48.737798,8.576352999999997,POINT (954715.2488233639 6230487.74435481),Baden-Württemberg,Karlsruhe,Calw,Landkreise,377,89.27
Kreisjugendwerk der AWO Karlsruhe-Stadt,49.010502,8.4087817,POINT (936061.2970357974 6276643.5515840305),Baden-Württemberg,Karlsruhe,Karlsruhe Städte,Kreisfreie Städte,377,48.2
Erwilux GmbH,48.9113561,8.4550577,POINT (941212.7177917467 6259833.741737574),Baden-Württemberg,Karlsruhe,Karlsruhe,Landkreise,377,60.3
Zeltplatz Christophshof,48.7075532,8.541161499999998,POINT (950797.7489631125 6225384.191276489),Baden-Württemberg,Karlsruhe,Calw,Landkreise,377,90.23
Camping Park Bad Liebenzell Inh. Debra Lee Kappi,48.7790877,8.731228999999999,POINT (971955.966279463 6237459.990361925),Baden-Württemberg,Karlsruhe,Calw,Landkreise,377,98.29
Camping in Klingbachtal,49.1372752,8.071555499999999,POINT (898521.4481696464 6298186.304154841),Rheinland-Pfalz,Rheinhessen-Pfalz,Südliche Weinstraße,Landkreise,377,9.75
Camping Cannstatter Wasen,48.793906,9.218861,POINT (1026238.9122139688 6239963.631022199),Baden-Württemberg,Stuttgart,Stuttgart Städte,Kreisfreie Städte,3927,145.36
AZUR Freizeit GmbH - AZUR Camping,48.756869,9.228785000000002,POINT (1027343.6468406013 6233707.392288131),Baden-Württemberg,Stuttgart,Stuttgart Städte,Kreisfreie Städte,3927,139.06
Wohnmobilstellplatz Großbottwar,49.00425079999999,9.286532799999998,POINT (1033772.1025310329 6275582.696610381),Baden-Württemberg,Stuttgart,Ludwigsburg,Landkreise,377,144.21
Wohnmobilstellplatz Römerhof,49.15166670000001,9.028389,POINT (1005035.6661635924 6300635.352222804),Baden-Württemberg,Stuttgart,Heilbronn,Landkreise,377,114.76
5 * -Campingpark Breitenauer See,49.117052,9.383273,POINT (1044541.1723342726 6294746.058224472),Baden-Württemberg,Stuttgart,Heilbronn,Landkreise,5705,128.84
Camping Müllerwiese,48.66474660000001,8.466596100000002,POINT (942497.1666043162 6218166.181276247),Baden-Württemberg,Karlsruhe,Calw,Landkreise,377,90.73
International Camping Schwarzwald,48.8199791,8.7354604,POINT (972427.0035728058 6244370.633549191),Baden-Württemberg,Karlsruhe,Enz,Landkreise,377,95.0
Nature Sports Federation Swabian Forest e.V.,48.9553233,9.666041599999998,POINT (1076018.8288985991 6267284.089935461),Baden-Württemberg,Stuttgart,Rems-Murr-Kreis,Landkreise,5705,143.05
Campingplatz Brend,48.85476999999999,9.6937,POINT (1079097.7479027559 6250254.732967122),Baden-Württemberg,Stuttgart,Rems-Murr-Kreis,Landkreise,5705,159.09
Gaststätte Hagerwaldsee,48.89228,9.698914999999998,POINT (1079678.2790472428 6256603.289978355),Baden-Württemberg,Stuttgart,Rems-Murr-Kreis,Landkreise,5705,152.74
Wohnmobilstellplatz Heubach,48.7974328,9.937678899999998,POINT (1106257.3548150589 6240559.613972777),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,3927,162.73
Camping-Club Ludwigsburg e.V.,49.1559977,9.5020113,POINT (1057759.0594279312 6301372.511752474),Baden-Württemberg,Stuttgart,Hohenlohe,Landkreise,5705,116.82
Campingplatz Leng,49.1548783,9.503806899999995,POINT (1057958.9447055995 6301181.977666332),Baden-Württemberg,Stuttgart,Hohenlohe,Landkreise,5705,116.91
FKK Gelände Simonsberg des BffL Stuttgart e.V.,49.1485285,9.572314100000002,POINT (1065585.1313252728 6300101.253943159),Baden-Württemberg,Stuttgart,Hohenlohe,Landkreise,5705,114.82
