Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
1996,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",176.4
1996,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.5
1996,6,WZ08-563,Ausschank von Getränken,236.8
1996,6,WZ08-561-01,Gaststättengewerbe,184.8
1996,6,WZ08-55-01,Gastgewerbe,151.0
1996,7,WZ08-55,Beherbergung,118.8
1996,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",113.7
1996,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,199.4
1996,7,WZ08-553,Campingplätze,106.7
1996,7,WZ08-559,Sonstige Beherbergungsstätten,264.2
1996,7,WZ08-56,Gastronomie,171.1
1996,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",184.1
1996,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.1
1996,7,WZ08-563,Ausschank von Getränken,229.2
1996,7,WZ08-561-01,Gaststättengewerbe,190.3
1996,7,WZ08-55-01,Gastgewerbe,149.9
1996,8,WZ08-55,Beherbergung,125.0
1996,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",121.2
1996,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,186.1
1996,8,WZ08-553,Campingplätze,100.6
1996,8,WZ08-559,Sonstige Beherbergungsstätten,252.1
1996,8,WZ08-56,Gastronomie,172.0
1996,8,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",183.9
1996,8,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.5
1996,8,WZ08-563,Ausschank von Getränken,240.0
1996,8,WZ08-561-01,Gaststättengewerbe,191.6
1996,8,WZ08-55-01,Gastgewerbe,152.9
1996,9,WZ08-55,Beherbergung,140.7
1996,9,WZ08-551,"Hotels, Gasthöfe und Pensionen",139.5
1996,9,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,171.6
1996,9,WZ08-553,Campingplätze,64.9
1996,9,WZ08-559,Sonstige Beherbergungsstätten,217.2
1996,9,WZ08-56,Gastronomie,165.8
1996,9,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",173.4
1996,9,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.8
1996,9,WZ08-563,Ausschank von Getränken,238.5
1996,9,WZ08-561-01,Gaststättengewerbe,182.3
1996,9,WZ08-55-01,Gastgewerbe,155.8
1996,10,WZ08-55,Beherbergung,133.5
1996,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",133.4
1996,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,149.9
1996,10,WZ08-553,Campingplätze,55.2
1996,10,WZ08-559,Sonstige Beherbergungsstätten,170.4
1996,10,WZ08-56,Gastronomie,168.1
1996,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",174.1
1996,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,102.2
