name,latitude,longitude
Jagstinsel Wörd,49.3075605,9.4625569
Öko-Ferienhof Retzbach,49.3173377,10.0300927
Jugendzeltplatz Tauberinsel,49.676903,9.6296873
Georgshof Schammann,49.4643501,9.9671423
Sauruh,50.071489,9.6872048
Zeltplatz,50.1790914,10.0639716
Trekking-Zeltplatz Rothenbuch II,49.9223008,9.444535
Trekking-Zeltplatz Rothenbuch I,49.9567789,9.4251895
Trekkingzeltplatz Jagdpfad,50.0442685,9.4864454
Steinwand,50.5242366,9.8652223
Camp ErNa (Erholung und Natur),50.4997264,9.951925
Zeltplatz Thomas-Morus-Haus,50.5775717,10.0231411
Campingwiese Hof Haennesse,50.6566964,9.5961365
Am Buchschirmhang,50.5718653,10.0220531
Haus der Jugend,51.150952,9.7917156
Im Schemmerfeld,51.1395254,9.8682308
Kanu Raststation Felsberg,51.1306757,9.432044
Campingplatz Bergwiese Thüringen,51.352822,10.0421901
Campingplatz am Bootshaus,51.4100779,9.6491611
BffL Kassel (FKK),51.2963487,9.5489496
Hofgut Stammen,51.5646128,9.4109434
Weser AktivHotel Corvey,51.7771361,9.4100544
Ith Campingplatz Capellenhagen,51.9737113,9.6479142
Mammut Camping,51.8741321,9.6482242
Diemelaue,51.6273268,9.4589388
Diözesanzentrum Hildesholz,52.097394,9.8976937
Campingplatz Tostedt,53.2848382,9.6847351
Campingplatz Lühesand,53.5962603,9.5834347
Lühesand Zeltplatz Hamburger Kanuvereine,53.5976334,9.5843884
HSN e.V.,53.6522138,10.0460484
Bootsmann Campingplatz,54.2152888,9.531791
Campingplatz Roland,53.9284708,9.889748
Übernachtungsplatz Olendieksau,54.1962683,9.9203839
Trekkingplatz Eidertal,54.1910455,10.0529945
Naturistenbund Itzehoe (FKK),53.8792004,9.5151524
Übernachtungsplatz Aukrug,54.059099,9.8190681
Pfadfinder Stamm St. Johannes Henstedt,53.7961847,10.0637383
Eiderhafen Lexfähre,54.218625,9.4358428
Trekkingplatz Barmstedt,53.8068026,9.7614732
Ferienplatz bei Matz,54.397367,9.7117209
Trekkingplatz Kolonistenhof,54.3652654,9.6807297
Trekkingplatz bei Kosel,54.5066758,9.7713733
Witten See,54.4010123,9.7666999
Übernachtungsplatz Winderatter See,54.7408,9.5881
Trekkingplatz Koppelheck,54.7551216,9.848087
Übernachtungsplatz Husby,54.7497377,9.5836454
Trekkingplatz Steinbergkirche,54.7429189,9.7467682
Johannihof,47.6856254,8.7761772
Camping Fließhorn / Seepark,47.7339551,9.173099
Jugendzeltplatz Nr. 11,48.0310138,8.9550646
Zeltplatz am Naturfreundehaus,48.1016078,9.0645681
Zeltplatz Bronnen,48.0301501,8.9610404
Zeltplatz Freizeitheim Schönbühl / Jugendzeltplatz Irndorf,48.0636082,8.965302
Pfarrer Bruno-Hettich Jugendcamp,47.9638772,8.7788091
lac de constance,47.8177602,9.0376031
Jugendzeltplatz an der Nagold,48.5644519,8.7224101
Jugendzeltplatz Monbachtal,48.8008409,8.7425287
Sonnenhof,48.8558772,9.2337816
Waldjugendzeltplatz Jungviehweide,48.6238905,9.1462458
Campingplatz des Naturfreundehauses,49.4183586,9.0293552
Campingplatz Freibad Neudenau,49.2874922,9.2962253
Crow River Tipi Camp,49.3065721,9.149361
Trekking-Camp Sonnenberg,49.4077621,9.2276037
Jugendzeltplatz Wald-Amorbach,49.8450389,9.02629
Campingplatz Mainwiese,49.7602984,9.1800743
Jugendzeltplatz Waldskopf,49.5422824,8.7697879
Jugendzeltplatz Itterhof,49.4828793,9.0146822
Trekking-Camp Waldschlössel,49.4629513,9.1360128
Campingplatz Kahl am Main,50.0656195,8.9912974
